rep_i,rand_score
0,0.6264577137301667
1,0.6432724095141567
2,0.6472957391877486
3,0.6722641739236344
4,0.6392831999540236
5,0.6379316248802969
6,0.6329987551421323
7,0.6391036989279485
8,0.6511333606282801
9,0.6451210209158995
