,auc,prauc,model,iteration,degree_correction
0,0.9806157143597696,0.31287601297702455,NAA,0,False
1,0.9805125150187812,0.3024128259101557,NSBM,0,False
2,0.9804472659609788,0.3362410352551218,NAA,0,True
3,0.9800916536266224,0.3339703101603011,NSBM,0,True
4,0.9830069626114981,0.32163426384737176,NAA,1,False
5,0.9812903476008782,0.3121290966404742,NSBM,1,False
6,0.9818335436937734,0.3218474134846329,NAA,1,True
7,0.980029619213298,0.32507794755080915,NSBM,1,True
8,0.9830085785015531,0.3201394670547365,NAA,2,False
9,0.9826001524372073,0.3391863936643122,NSBM,2,False
10,0.981677023408102,0.3276133482714712,NAA,2,True
11,0.9811980276723588,0.3360172004805983,NSBM,2,True
12,0.9812144401802538,0.3179927886217345,NAA,3,False
13,0.979178895081729,0.2707195156194588,NSBM,3,False
14,0.9812631139416615,0.34145803138396963,NAA,3,True
15,0.9801329145138229,0.3452331270644461,NSBM,3,True
16,0.9848229454358927,0.3509572425492715,NAA,4,False
17,0.9821250533440777,0.3138705186289686,NSBM,4,False
18,0.984874907524994,0.33808828676395253,NAA,4,True
19,0.9831207294964611,0.3493838632301575,NSBM,4,True
20,0.9825150534638216,0.3374412389038336,NAA,5,False
21,0.9809083138362404,0.3088917403506245,NSBM,5,False
22,0.9813806626605068,0.31698050407775835,NAA,5,True
23,0.9814591627021841,0.34704086499146036,NSBM,5,True
24,0.9821825999355001,0.31426944254054934,NAA,6,False
25,0.9798936102785879,0.26969410777733677,NSBM,6,False
26,0.9813985282699571,0.3430664662776274,NAA,6,True
27,0.9804326715435907,0.3413794729549863,NSBM,6,True
28,0.9818782711192358,0.3354971251453292,NAA,7,False
29,0.9790900468321609,0.2567044971661162,NSBM,7,False
30,0.9825520938449723,0.35666304981103275,NAA,7,True
31,0.9795113588914294,0.34415706184399464,NSBM,7,True
32,0.978964360401894,0.3194554481933033,NAA,8,False
33,0.9777370173652558,0.2997500688630457,NSBM,8,False
34,0.9788754778810629,0.319413171602422,NAA,8,True
35,0.979080397758037,0.3248556278290996,NSBM,8,True
36,0.9839551987679453,0.32184171156946345,NAA,9,False
37,0.9831497127036588,0.3475955235225462,NSBM,9,False
38,0.9842379092714507,0.35071155148036615,NAA,9,True
39,0.97995755017414,0.3191239245716314,NSBM,9,True
40,0.983001741384566,0.3233090316452892,NAA,10,False
41,0.9826129424725938,0.3334785032040213,NSBM,10,False
42,0.982676628760799,0.3558030564338845,NAA,10,True
43,0.9825509491847851,0.3539535150971917,NSBM,10,True
