,auc,prauc,model,assignment,k,iteration
0,0.6965384249215892,0.0016091515083799203,BiAA,soft,2,0
1,0.6359029808294122,0.0002132998712344164,SBM,soft,2,0
2,0.6760812192393508,0.0005555707103294307,DBiAA,soft,2,0
3,0.6769448316907694,0.0004986565719077899,DSBM,soft,2,0
4,0.6744532350073813,0.00013429983029335235,BiAA,hard,2,0
5,0.6652986053547107,0.00012081989504086969,SBM,hard,2,0
6,0.6845586291021265,0.0004561278301846519,DBiAA,hard,2,0
7,0.6844890717423454,0.000410864621430038,DSBM,hard,2,0
8,0.6931899646661879,0.0006325789080232319,BiAA,soft,3,0
9,0.6891552441515284,0.00031377245039072334,SBM,soft,3,0
10,0.6975472210356354,0.0006316315766173857,DBiAA,soft,3,0
11,0.6362774883596369,0.0001732560096909336,DSBM,soft,3,0
12,0.7125219517511294,0.00019444093323917402,BiAA,hard,3,0
13,0.7125219517511294,0.00019444093323917402,SBM,hard,3,0
14,0.702128059517026,0.000836018623995755,DBiAA,hard,3,0
15,0.6971365784675485,0.0004347529870009102,DSBM,hard,3,0
16,0.7044589560582065,0.0009683017340798225,BiAA,soft,4,0
17,0.6956973149122219,0.0009082128003262465,SBM,soft,4,0
18,0.7059561835474858,0.0007002705013867196,DBiAA,soft,4,0
19,0.6787955800661529,0.0003244444703089565,DSBM,soft,4,0
20,0.7050160437497625,0.0001628511315114519,BiAA,hard,4,0
21,0.6765535385516683,0.00015514528035743104,SBM,hard,4,0
22,0.6996236424550155,0.0007124184115095169,DBiAA,hard,4,0
23,0.6855355563954217,0.0005717267086873338,DSBM,hard,4,0
24,0.7216479723154461,0.0006054650743373136,BiAA,soft,5,0
25,0.6949882857321021,0.0007192768306985676,SBM,soft,5,0
26,0.6987683036274641,0.0006377251300957916,DBiAA,soft,5,0
27,0.6861993365789558,0.0003768198617643418,DSBM,soft,5,0
28,0.6808604310650695,0.00018228529999724015,BiAA,hard,5,0
29,0.6392491782515615,0.00013270431503166526,SBM,hard,5,0
30,0.6981671421300457,0.00046354843312339635,DBiAA,hard,5,0
31,0.673778600764885,0.0004629503231974386,DSBM,hard,5,0
32,0.715276550239199,0.000810198912294852,BiAA,soft,6,0
33,0.6753061537983539,0.00041663286875277084,SBM,soft,6,0
34,0.7096920292251466,0.0006325742102503277,DBiAA,soft,6,0
35,0.7052112998671478,0.00031212297794156433,DSBM,soft,6,0
36,0.7175950162148842,0.00019250109693659374,BiAA,hard,6,0
37,0.6880669875071538,0.00018450043381817505,SBM,hard,6,0
38,0.7055349514821325,0.0008000396585946025,DBiAA,hard,6,0
39,0.7055518080242174,0.00033852921465910767,DSBM,hard,6,0
40,0.7051205168630666,0.0011813925641207413,BiAA,soft,7,0
41,0.6839588702929282,0.0004067249769705222,SBM,soft,7,0
42,0.7172431434075591,0.00103729762417754,DBiAA,soft,7,0
43,0.6797148833936655,0.0002767155455513968,DSBM,soft,7,0
44,0.7094182506850902,0.00020496390706516203,BiAA,hard,7,0
45,0.6917991523264323,0.00020496390706516203,SBM,hard,7,0
46,0.696383224339666,0.008271588496511334,DBiAA,hard,7,0
47,0.6521038329506839,0.00034730914435927157,DSBM,hard,7,0
48,0.7365977211217839,0.0009599112046993005,BiAA,soft,8,0
49,0.735873384427482,0.0004972135779994979,SBM,soft,8,0
50,0.6954708028114447,0.0007308566122500604,DBiAA,soft,8,0
51,0.6836429708468731,0.00041100377482637077,DSBM,soft,8,0
52,0.6945412882971109,0.00020394496360629484,BiAA,hard,8,0
53,0.6857946817961194,0.00018092443506886847,SBM,hard,8,0
54,0.7335594850167272,0.00038252327618987014,DBiAA,hard,8,0
55,0.6644017597365959,0.00029717150133238814,DSBM,hard,8,0
56,0.7299687405658034,0.0005525353031267412,BiAA,soft,9,0
57,0.6988453345356449,0.00021065082732628904,SBM,soft,9,0
58,0.706196806883471,0.0020634079209364362,DBiAA,soft,9,0
59,0.6835598403218073,0.0003083780188544174,DSBM,soft,9,0
60,0.7305601017777792,0.00029429888814355275,BiAA,hard,9,0
61,0.717228862188266,0.0002943270793310439,SBM,hard,9,0
62,0.7074273101722225,0.0004820580870578443,DBiAA,hard,9,0
63,0.7073370281738652,0.0002649099909428585,DSBM,hard,9,0
64,0.7097856032860609,0.0015941813308069615,BiAA,soft,2,1
65,0.6545502707848163,0.00025191582794964213,SBM,soft,2,1
66,0.6763379137742129,0.00038083771190975757,DBiAA,soft,2,1
67,0.665031433478035,0.00026576041095944007,DSBM,soft,2,1
68,0.6940553640710734,0.0001392094323763312,BiAA,hard,2,1
69,0.6406297166698859,0.00012617332509685483,SBM,hard,2,1
70,0.7057447244575941,0.00045090152647946514,DBiAA,hard,2,1
71,0.6774619367831548,0.0004554993821865904,DSBM,hard,2,1
72,0.691778790122651,0.00042228559530581246,BiAA,soft,3,1
73,0.6945166145904959,0.000335130276600364,SBM,soft,3,1
74,0.6810543395202704,0.0003646440741237253,DBiAA,soft,3,1
75,0.676412570493203,0.00024259859386327562,DSBM,soft,3,1
76,0.7101937225456034,0.0001703056149772138,BiAA,hard,3,1
77,0.7113606400460277,0.00015272900843701473,SBM,hard,3,1
78,0.7006627876888785,0.0004288834263656805,DBiAA,hard,3,1
79,0.6726361750802529,0.00022084313276461476,DSBM,hard,3,1
