,auc,prauc,model,iteration,degree_correction
0,0.9932070817908252,0.45893112340550923,NAA,0,False
1,0.9945261018352719,0.5210744357753233,NSBM,0,False
2,0.9925437588810838,0.48404329479835856,NAA,0,True
3,0.9958476785704061,0.5677624949177392,NSBM,0,True
4,0.9935547198461673,0.5040915413112859,NAA,1,False
5,0.9969464939132751,0.502844576818339,NSBM,1,False
6,0.9924022048051326,0.5168883786069217,NAA,1,True
7,0.9972753943260774,0.5618336931858191,NSBM,1,True
8,0.9930553770092827,0.5308301159005404,NAA,2,False
9,0.994870310632068,0.5646288426402517,NSBM,2,False
10,0.9902942881365332,0.5764930486607444,NAA,2,True
11,0.9960212067421245,0.5560745702110498,NSBM,2,True
12,0.9929312759620802,0.4864152277106925,NAA,3,False
13,0.9955642185496644,0.4857613981109363,NSBM,3,False
14,0.9898619115395886,0.5118503076371078,NAA,3,True
15,0.9968354287289874,0.5546967261772751,NSBM,3,True
16,0.9936086988033485,0.5380169157469866,NAA,4,False
17,0.9965802765001966,0.5851932783659345,NSBM,4,False
18,0.9897537633347604,0.5005092247099102,NAA,4,True
19,0.9966677271986589,0.5713343022471586,NSBM,4,True
20,0.9921369934880444,0.48010566547968514,NAA,5,False
21,0.9939417973000627,0.5380465163396952,NSBM,5,False
22,0.9898622884822172,0.4853564468677177,NAA,5,True
23,0.9954812543965321,0.5726626056944678,NSBM,5,True
24,0.9932275415897348,0.5628747630704205,NAA,6,False
25,0.9955197966829393,0.5214750382471249,NSBM,6,False
26,0.9877284891295242,0.47125161572404867,NAA,6,True
27,0.9970162936947431,0.6084044095678072,NSBM,6,True
28,0.9911810477592579,0.47701771348863514,NAA,7,False
29,0.9944045014806281,0.482770075754565,NSBM,7,False
30,0.9914833582545901,0.5670195718791471,NAA,7,True
31,0.994741193155474,0.5923595892378388,NSBM,7,True
32,0.9935870355518491,0.4719569106135741,NAA,8,False
33,0.9959194715779763,0.5581187011493725,NSBM,8,False
34,0.9861415841816108,0.41267330824773296,NAA,8,True
35,0.9970990126455633,0.607779927858672,NSBM,8,True
36,0.9923915389609022,0.5211406523223507,NAA,9,False
37,0.9951190763336646,0.5500337932724634,NSBM,9,False
38,0.9830172797665104,0.4651415599834393,NAA,9,True
39,0.9945702798215771,0.5885326887084632,NSBM,9,True
40,0.993556550809389,0.44786491533392997,NAA,10,False
41,0.9943115127385995,0.48685575209675497,NSBM,10,False
42,0.9893929460234472,0.5164042838957406,NAA,10,True
43,0.9941943163978306,0.4842187855501481,NSBM,10,True
44,0.9937613404046433,0.5354546024806195,NAA,11,False
45,0.9961094923890812,0.5665804435360858,NSBM,11,False
46,0.988429494448475,0.45742316984623455,NAA,11,True
47,0.9963677766540541,0.6038592376923431,NSBM,11,True
48,0.9927371187483365,0.5230954312573146,NAA,12,False
49,0.9959512617360482,0.5642139593375147,NSBM,12,False
50,0.9884730058303663,0.5124979240667803,NAA,12,True
51,0.9960160106172453,0.617968565996723,NSBM,12,True
52,0.9918145738139126,0.4733701037742582,NAA,13,False
53,0.9949508894320707,0.5781262960907404,NSBM,13,False
54,0.9901954698265993,0.4477073751564839,NAA,13,True
55,0.9951330530167299,0.57870362039602,NSBM,13,True
56,0.9935060877628917,0.4969643188522922,NAA,14,False
57,0.9957814624112529,0.581488336029598,NSBM,14,False
58,0.9881150184210375,0.48874239751010345,NAA,14,True
59,0.9944027125079428,0.5122579292272151,NSBM,14,True
60,0.9948091749236102,0.5293912970601373,NAA,15,False
61,0.9959157270591623,0.5703919176247644,NSBM,15,False
62,0.9923734788355549,0.5347280003461249,NAA,15,True
63,0.99618669750394,0.641117251670318,NSBM,15,True
64,0.9929727271143066,0.5157482092323771,NAA,16,False
65,0.9951746170010068,0.48596645947610095,NSBM,16,False
66,0.9903685859523846,0.5217144216439787,NAA,16,True
67,0.9959965324621362,0.5530993954227819,NSBM,16,True
68,0.9956358719165666,0.5527565430491879,NAA,17,False
69,0.9947455392789053,0.4878262246573428,NSBM,17,False
70,0.9900989624842207,0.5205779934468209,NAA,17,True
71,0.9952522997783769,0.4754960219860652,NSBM,17,True
72,0.994606291493045,0.5143565428012096,NAA,18,False
73,0.995399423801873,0.5649236713654537,NSBM,18,False
74,0.9896016602061054,0.5210768150183132,NAA,18,True
75,0.9967504637271725,0.5688614915227471,NSBM,18,True
76,0.9938361246520019,0.45131539863197,NAA,19,False
77,0.9971546748972215,0.5500496915720727,NSBM,19,False
78,0.990198181138986,0.4234263146328787,NAA,19,True
79,0.9973342408373375,0.5869067174214136,NSBM,19,True
80,0.9942746330638936,0.49695210138146473,NAA,20,False
81,0.9956520311588821,0.5736006632326501,NSBM,20,False
82,0.9902436184929267,0.566312373820855,NAA,20,True
83,0.9953374281144746,0.5019848423553236,NSBM,20,True
84,0.9950319755584047,0.4922106395451803,NAA,21,False
85,0.9948697138758891,0.5116154311917519,NSBM,21,False
86,0.9887094675409562,0.46581687755920753,NAA,21,True
87,0.9966241034918971,0.6334208351093321,NSBM,21,True
88,0.9921306874301041,0.4959501965540967,NAA,22,False
89,0.9958160730593378,0.6182730014709127,NSBM,22,False
90,0.989438792185553,0.4786989865900191,NAA,22,True
91,0.9952114754708764,0.5360588918612249,NSBM,22,True
92,0.9954982296902368,0.5542402590126719,NAA,23,False
93,0.9952754843231233,0.5648122168339442,NSBM,23,False
94,0.9912867415935545,0.515961863139305,NAA,23,True
