,auc,prauc,model,assignment,k,iteration
0,0.7336296347646541,0.0004899440313791503,BiSBM_VB,soft,2,0
1,0.6899903650975691,0.000323321566861506,BiSBM_VB,soft,3,0
2,0.6885981941632093,0.00032135593714636035,BiSBM_VB,soft,4,0
3,0.6898713973263089,0.00032308924305944826,BiSBM_VB,soft,5,0
4,0.6898809202692973,0.0003247042683018277,BiSBM_VB,soft,6,0
5,0.6935257861191992,0.0003315427221154987,BiSBM_VB,soft,7,0
6,0.6988343507519861,0.0003389500905174037,BiSBM_VB,soft,8,0
7,0.7317185854936681,0.00037623919895403435,BiSBM_VB,soft,9,0
8,0.7355450300837749,0.0004795058012444128,BiSBM_VB,soft,2,1
9,0.701584768149672,0.00032167826305145626,BiSBM_VB,soft,3,1
10,0.6664812636169632,0.00029503498254535514,BiSBM_VB,soft,4,1
11,0.6691874208532954,0.00029339045332214055,BiSBM_VB,soft,5,1
12,0.6654677196833361,0.0003033939930858318,BiSBM_VB,soft,6,1
13,0.7374286967979523,0.0003556089674835405,BiSBM_VB,soft,7,1
14,0.7275224087002043,0.00033611107746365186,BiSBM_VB,soft,8,1
15,0.6659073123825621,0.0003200544245976562,BiSBM_VB,soft,9,1
16,0.7837492552377204,0.00040009819938382525,BiSBM_VB,soft,2,2
17,0.6739227481630834,0.00032570198348777914,BiSBM_VB,soft,3,2
18,0.6718316725539087,0.00032330328668715144,BiSBM_VB,soft,4,2
19,0.7752396122504726,0.00040419563707467675,BiSBM_VB,soft,5,2
20,0.6736588172247022,0.0003271410936202244,BiSBM_VB,soft,6,2
21,0.6762850282237158,0.0003310416579527906,BiSBM_VB,soft,7,2
22,0.6741843406670105,0.00032911919141714066,BiSBM_VB,soft,8,2
23,0.6733274383934352,0.00032545281225533423,BiSBM_VB,soft,9,2
24,0.7726092193595735,0.0004125358022712582,BiSBM_VB,soft,2,3
25,0.773387490405284,0.0004144201107640998,BiSBM_VB,soft,3,3
26,0.7732966948051205,0.00040656597166159597,BiSBM_VB,soft,4,3
27,0.7319982811202755,0.00035523578215556446,BiSBM_VB,soft,5,3
28,0.7735519937405952,0.0004156639513040854,BiSBM_VB,soft,6,3
29,0.773444334425293,0.0004074627301107472,BiSBM_VB,soft,7,3
30,0.7712945563634712,0.00040346013857381693,BiSBM_VB,soft,8,3
31,0.7321596580182905,0.00035383729145833226,BiSBM_VB,soft,9,3
32,0.6720926366257812,0.00042350546149757265,BiSBM_VB,soft,2,4
33,0.7590435398384523,0.0005225660334326812,BiSBM_VB,soft,3,4
34,0.7609663958439092,0.0005036063336122862,BiSBM_VB,soft,4,4
35,0.6953418820772417,0.0005097346059499496,BiSBM_VB,soft,5,4
36,0.6960810600646887,0.0005187144517143491,BiSBM_VB,soft,6,4
37,0.6970853469086714,0.0005267175811415677,BiSBM_VB,soft,7,4
38,0.6959841193908628,0.0005204664996859083,BiSBM_VB,soft,8,4
39,0.6963809805530633,0.0005126531710565954,BiSBM_VB,soft,9,4
40,0.7672497673052191,0.00048695878732241306,BiSBM_VB,soft,2,5
41,0.6813501802566664,0.0003422102594700075,BiSBM_VB,soft,3,5
42,0.7680114195162919,0.00046902414810653356,BiSBM_VB,soft,4,5
43,0.6829449126931049,0.0003535248096143403,BiSBM_VB,soft,5,5
44,0.7678384904778153,0.000461220819880814,BiSBM_VB,soft,6,5
45,0.7318525700960069,0.0003757674111506243,BiSBM_VB,soft,7,5
46,0.6817850005691853,0.00034911984232060124,BiSBM_VB,soft,8,5
47,0.7536892264577393,0.00042244071088109504,BiSBM_VB,soft,9,5
48,0.6453537585783863,0.00027084120425102106,BiSBM_VB,soft,2,6
49,0.6462984260051701,0.00027879376567570627,BiSBM_VB,soft,3,6
50,0.6550025248316962,0.00028353099563091955,BiSBM_VB,soft,4,6
51,0.6490460234920759,0.000287313733664276,BiSBM_VB,soft,5,6
52,0.6575544489605823,0.0002867015088505795,BiSBM_VB,soft,6,6
53,0.6489766984239965,0.000286793473100721,BiSBM_VB,soft,7,6
54,0.7167247933451149,0.0005550304183527641,BiSBM_VB,soft,8,6
55,0.6610765185630836,0.0002840791989251563,BiSBM_VB,soft,9,6
56,0.7555183230969162,0.0004037189413352968,BiSBM_VB,soft,2,7
57,0.7540172243479083,0.0004107167039625828,BiSBM_VB,soft,3,7
58,0.7551600054847577,0.00034357043361213884,BiSBM_VB,soft,4,7
59,0.6999044917753026,0.0003370301926077365,BiSBM_VB,soft,5,7
60,0.7022947613116071,0.0003405273366754699,BiSBM_VB,soft,6,7
61,0.7444260872389764,0.0003323626480830033,BiSBM_VB,soft,7,7
62,0.6971051873073049,0.0003340648387568905,BiSBM_VB,soft,8,7
63,0.7400434280609558,0.00042330866724917167,BiSBM_VB,soft,9,7
