,auc,prauc,model,assignment,k,iteration,init
0,0.8323121621910317,0.026510006767908857,BiAA,soft,2,0,False
1,0.827827981798372,0.023878913574404668,SBM,soft,2,0,True
2,0.8361347888938737,0.03479855304310419,SBM,soft,2,0,False
3,0.8360614411758422,0.027318336684541984,DBiAA,soft,2,0,False
4,0.8337185868814402,0.02730724895901146,DSBM,soft,2,0,True
5,0.8340710831962515,0.0274942549753505,DSBM,soft,2,0,False
6,0.7809637747726575,0.014459842083756337,BiAA,hard,2,0,False
7,0.7809637747726575,0.014459842083756337,SBM,hard,2,0,True
8,0.6377374009271721,0.009038367326311128,SBM,hard,2,0,False
9,0.8243382682817408,0.02596928437406796,DBiAA,hard,2,0,False
10,0.8148607461528055,0.0254105156719883,DSBM,hard,2,0,True
11,0.7075971857263916,0.021130406570168132,DSBM,hard,2,0,False
12,0.8366695863331126,0.027786406163946852,BiAA,soft,3,0,False
13,0.8363662258682447,0.027323028403458745,SBM,soft,3,0,True
14,0.8196383174175906,0.03418859034160526,SBM,soft,3,0,False
15,0.86224230383046,0.03632580113401148,DBiAA,soft,3,0,False
16,0.8350594971052575,0.027309968433421164,DSBM,soft,3,0,True
17,0.850295171156544,0.0386696029257931,DSBM,soft,3,0,False
18,0.8272290941200766,0.022944333529523707,BiAA,hard,3,0,False
19,0.7734217778632314,0.01799405911259556,SBM,hard,3,0,True
20,0.7809637747726575,0.014459842083756337,SBM,hard,3,0,False
21,0.8567301872147095,0.029308185901521497,DBiAA,hard,3,0,False
22,0.820477899549232,0.02564175036077749,DSBM,hard,3,0,True
23,0.8385855284240211,0.028529602959784652,DSBM,hard,3,0,False
24,0.8606663960634351,0.04785674147176298,BiAA,soft,4,0,False
25,0.819250927528182,0.03178256838243061,SBM,soft,4,0,True
26,0.8520042441980531,0.046065178614787594,SBM,soft,4,0,False
27,0.8741039828523005,0.04430838052232575,DBiAA,soft,4,0,False
28,0.8635212601565226,0.04061229484625087,DSBM,soft,4,0,True
29,0.8589195809922595,0.05368424160424815,DSBM,soft,4,0,False
30,0.8525151858260875,0.022694210362108322,BiAA,hard,4,0,False
31,0.83778796100465,0.022694210362108322,SBM,hard,4,0,True
32,0.7925840472273851,0.014702296574389994,SBM,hard,4,0,False
33,0.8607173121977967,0.03930732692844211,DBiAA,hard,4,0,False
34,0.8108714848284162,0.024887800265894013,DSBM,hard,4,0,True
35,0.8569292230126685,0.040101025484767336,DSBM,hard,4,0,False
36,0.870102971650751,0.04535672491782908,BiAA,soft,5,0,False
37,0.8783015374536236,0.03818322973220898,SBM,soft,5,0,True
38,0.8531874212224144,0.03768428367122951,SBM,soft,5,0,False
39,0.8828850577168209,0.06316276259840159,DBiAA,soft,5,0,False
40,0.853560924893361,0.02979407690634258,DSBM,soft,5,0,True
41,0.8756613756613757,0.053398964611324935,DSBM,soft,5,0,False
42,0.8505305247566352,0.031031566219303065,BiAA,hard,5,0,False
43,0.8440602590669886,0.031031566219303065,SBM,hard,5,0,True
44,0.6820379983906228,0.011053022084213543,SBM,hard,5,0,False
45,0.8870858168300967,0.04280022880167527,DBiAA,hard,5,0,False
46,0.8574836035805079,0.0334060783741937,DSBM,hard,5,0,True
47,0.813569327835815,0.027000936185541755,DSBM,hard,5,0,False
48,0.8839678266999935,0.048080974692083424,BiAA,soft,6,0,False
49,0.8804115305461202,0.050348536884617046,SBM,soft,6,0,True
50,0.8625677398221141,0.042712492983301945,SBM,soft,6,0,False
51,0.8734011265639798,0.040246333468272756,DBiAA,soft,6,0,False
52,0.873983279568744,0.03567751558828515,DSBM,soft,6,0,True
53,0.8817997963354626,0.042855846997993156,DSBM,soft,6,0,False
54,0.8623961204041957,0.03317641045849394,BiAA,hard,6,0,False
55,0.8083192690864293,0.02136989153880834,SBM,hard,6,0,True
56,0.6820379983906228,0.015038747989945079,SBM,hard,6,0,False
57,0.8663284126272013,0.0463072669871548,DBiAA,hard,6,0,False
58,0.8613425480854822,0.026805309904530693,DSBM,hard,6,0,True
59,0.8553953299579141,0.03939003196556261,DSBM,hard,6,0,False
60,0.8836633980644747,0.052683892925319366,BiAA,soft,7,0,False
61,0.8718533472907631,0.03681064283481523,SBM,soft,7,0,True
62,0.8522036360528958,0.042964186777940665,SBM,soft,7,0,False
63,0.8817656148746325,0.04212860620293104,DBiAA,soft,7,0,False
64,0.8701275395757226,0.038795914332797866,DSBM,soft,7,0,True
65,0.8875109487491722,0.045769616504468535,DSBM,soft,7,0,False
66,0.8792361867731988,0.03813976590361768,BiAA,hard,7,0,False
67,0.8796449400756264,0.031165621612660368,SBM,hard,7,0,True
68,0.75899577716536,0.014408307310727227,SBM,hard,7,0,False
69,0.8685883056677135,0.052234611179359305,DBiAA,hard,7,0,False
70,0.8612335946790859,0.028726347267082883,DSBM,hard,7,0,True
71,0.8489229279269656,0.03283611759681776,DSBM,hard,7,0,False
72,0.8937604591709571,0.04876390067119298,BiAA,soft,8,0,False
73,0.8780337826771206,0.04122406640624402,SBM,soft,8,0,True
74,0.8499198872011793,0.04959475328015753,SBM,soft,8,0,False
75,0.8971835900503464,0.057618552267108734,DBiAA,soft,8,0,False
